ID,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,AcceptedCmp6,Childhome,HouseholdType,HouseholdSize,TotalSpending,TotalAcceptedCmp,log_MntWines,log_MntFruits,log_MntMeatProducts,log_MntFishProducts,log_MntSweetProducts,log_MntGoldProds,IncomeLevel,SpendingLevel
5524,Single,58138.0,0,0,2012-04-09 00:00:00,58,635,88,546,172,88,88,3,0,0,0,0,0,1,0,Single_NoChild,No Children,1617,1,6.46,4.49,6.3,5.15,4.49,4.49,Lower-Middle,Upper-Middle Spending
2174,Single,46344.0,1,1,2014-08-03 00:00:00,38,11,1,6,2,1,6,2,0,0,0,0,0,0,2,Single_WithChild,Small Family,27,0,2.48,0.69,1.95,1.1,0.69,1.95,Lower-Middle,Low Spending
4141,Couple,71613.0,0,0,21-08-2013,26,426,49,127,111,21,42,1,0,0,0,0,0,0,0,Couple_NoChild,No Children,776,0,6.06,3.91,4.85,4.72,3.09,3.76,Upper-Middle,Lower-Middle Spending
6182,Couple,26646.0,1,0,2014-10-02 00:00:00,26,11,4,20,10,3,5,2,0,0,0,0,0,0,1,Couple_WithChild,Small Family,53,0,2.48,1.61,3.04,2.4,1.39,1.79,Low Income,Low Spending
5324,Couple,58293.0,1,0,19-01-2014,94,173,43,118,46,27,15,5,0,0,0,0,0,0,1,Couple_WithChild,Small Family,422,0,5.16,3.78,4.78,3.85,3.33,2.77,Lower-Middle,Low Spending
7446,Couple,62513.0,0,1,2013-09-09 00:00:00,16,520,42,98,0,42,14,2,0,0,0,0,0,0,1,Couple_WithChild,Small Family,716,0,6.26,3.76,4.6,0.0,3.76,2.71,Upper-Middle,Lower-Middle Spending
965,Single,55635.0,0,1,13-11-2012,34,235,65,164,50,49,27,4,0,0,0,0,0,0,1,Single_WithChild,Small Family,590,0,5.46,4.19,5.11,3.93,3.91,3.33,Lower-Middle,Low Spending
6177,Couple,33454.0,1,0,2013-08-05 00:00:00,32,76,10,56,3,1,23,2,0,0,0,0,0,0,1,Couple_WithChild,Small Family,169,0,4.34,2.4,4.04,1.39,0.69,3.18,Lower-Middle,Low Spending
4855,Couple,30351.0,1,0,2013-06-06 00:00:00,19,14,0,24,3,3,2,1,0,0,0,0,0,1,1,Couple_WithChild,Small Family,46,1,2.71,0.0,3.22,1.39,1.39,1.1,Lower-Middle,Low Spending
5899,Couple,5648.0,1,1,13-03-2014,68,28,0,6,1,1,13,1,1,0,0,0,0,0,2,Couple_WithChild,Small Family,49,1,3.37,0.0,1.95,0.69,0.69,2.64,Low Income,Low Spending
387,Couple,7500.0,0,0,13-11-2012,59,6,16,11,11,1,16,1,0,0,0,0,0,0,0,Couple_NoChild,No Children,61,0,1.95,2.83,2.48,2.48,0.69,2.83,Low Income,Low Spending
2125,Single,63033.0,0,0,15-11-2013,82,194,61,480,225,112,30,1,0,0,0,0,0,0,0,Single_NoChild,No Children,1102,0,5.27,4.13,6.18,5.42,4.73,3.43,Upper-Middle,Lower-Middle Spending
8180,Single,59354.0,1,1,15-11-2013,53,233,2,53,3,5,14,3,0,0,0,0,0,0,2,Single_WithChild,Small Family,310,0,5.46,1.1,3.99,1.39,1.79,2.71,Lower-Middle,Low Spending
2569,Couple,17323.0,0,0,2012-10-10 00:00:00,38,3,14,17,6,1,5,1,0,0,0,0,0,0,0,Couple_NoChild,No Children,46,0,1.39,2.71,2.89,1.95,0.69,1.79,Low Income,Low Spending
2114,Single,82800.0,0,0,24-11-2012,23,1006,22,115,59,68,45,1,0,0,1,1,0,1,0,Single_NoChild,No Children,1315,3,6.91,3.14,4.75,4.09,4.23,3.83,Upper-Middle,Upper-Middle Spending
9736,Couple,41850.0,1,1,24-12-2012,51,53,5,19,2,13,4,3,0,0,0,0,0,0,2,Couple_WithChild,Small Family,96,0,3.99,1.79,3.0,1.1,2.64,1.61,Lower-Middle,Low Spending
4939,Couple,37760.0,0,0,31-08-2012,20,84,5,38,150,12,28,2,0,0,0,0,0,0,0,Couple_NoChild,No Children,317,0,4.44,1.79,3.66,5.02,2.56,3.37,Lower-Middle,Low Spending
6565,Couple,76995.0,0,1,28-03-2013,91,1012,80,498,0,16,176,2,0,0,0,1,0,0,1,Couple_WithChild,Small Family,1782,1,6.92,4.39,6.21,0.0,2.83,5.18,Upper-Middle,Upper-Middle Spending
2278,Single,33812.0,1,0,2012-03-11 00:00:00,86,4,17,19,30,24,39,2,0,0,0,0,0,0,1,Single_WithChild,Small Family,133,0,1.61,2.89,3.0,3.43,3.22,3.69,Lower-Middle,Low Spending
9360,Couple,37040.0,0,0,2012-08-08 00:00:00,41,86,2,73,69,38,48,1,0,0,0,0,0,0,0,Couple_NoChild,No Children,316,0,4.47,1.1,4.3,4.25,3.66,3.89,Lower-Middle,Low Spending
5376,Couple,2447.0,1,0,2013-06-01 00:00:00,42,1,1,1725,1,1,1,15,0,0,0,0,0,0,1,Couple_WithChild,Small Family,1730,0,0.69,0.69,7.45,0.69,0.69,0.69,Low Income,Upper-Middle Spending
1993,Couple,58607.0,0,1,23-12-2012,63,867,0,86,0,0,19,3,0,1,0,0,0,0,1,Couple_WithChild,Small Family,972,1,6.77,0.0,4.47,0.0,0.0,3.0,Lower-Middle,Lower-Middle Spending
4047,Couple,65324.0,0,1,2014-11-01 00:00:00,0,384,0,102,21,32,5,3,0,0,0,0,0,0,1,Couple_WithChild,Small Family,544,0,5.95,0.0,4.63,3.09,3.5,1.79,Upper-Middle,Low Spending
1409,Couple,40689.0,0,1,18-03-2013,69,270,3,27,39,6,99,7,0,0,0,0,0,0,1,Couple_WithChild,Small Family,444,0,5.6,1.39,3.33,3.69,1.95,4.61,Lower-Middle,Low Spending
7892,Single,18589.0,0,0,2013-02-01 00:00:00,89,6,4,25,15,12,13,2,0,0,0,0,0,0,0,Single_NoChild,No Children,75,0,1.95,1.61,3.26,2.77,2.56,2.64,Low Income,Low Spending
2404,Couple,53359.0,1,1,27-05-2013,4,173,4,30,3,6,41,4,0,0,0,0,0,0,2,Couple_WithChild,Small Family,257,0,5.16,1.61,3.43,1.39,1.95,3.74,Lower-Middle,Low Spending
9422,Couple,38360.0,1,0,31-05-2013,26,36,2,42,20,21,10,2,0,0,0,0,0,0,1,Couple_WithChild,Small Family,131,0,3.61,1.1,3.76,3.04,3.09,2.4,Lower-Middle,Low Spending
1966,Couple,84618.0,0,0,22-11-2013,96,684,100,801,21,66,0,1,0,0,1,0,0,0,0,Couple_NoChild,No Children,1672,1,6.53,4.62,6.69,3.09,4.2,0.0,Upper-Middle,Upper-Middle Spending
6864,Single,10979.0,0,0,22-05-2014,34,8,4,10,2,2,4,2,0,0,0,0,0,0,0,Single_NoChild,No Children,30,0,2.2,1.61,2.4,1.1,1.1,1.61,Low Income,Low Spending
3033,Couple,38620.0,0,0,2013-11-05 00:00:00,56,112,17,44,34,22,89,1,0,0,0,0,0,0,0,Couple_NoChild,No Children,318,0,4.73,2.89,3.81,3.56,3.14,4.5,Lower-Middle,Low Spending
5710,Couple,40548.0,0,1,2012-10-10 00:00:00,31,110,0,5,2,0,3,2,0,1,0,0,0,0,1,Couple_WithChild,Small Family,120,1,4.71,0.0,1.79,1.1,0.0,1.39,Lower-Middle,Low Spending
7373,Single,46610.0,0,2,29-10-2012,8,96,12,96,33,22,43,6,0,0,0,0,0,1,2,Single_WithChild,Small Family,302,1,4.57,2.56,4.57,3.53,3.14,3.78,Lower-Middle,Low Spending
8755,Couple,68657.0,0,0,20-02-2013,4,482,34,471,119,68,22,1,0,0,0,0,0,0,0,Couple_NoChild,No Children,1196,0,6.18,3.56,6.16,4.79,4.23,3.14,Upper-Middle,Lower-Middle Spending
10738,Single,49389.0,1,1,29-08-2013,55,40,0,19,2,1,3,1,0,0,0,0,0,0,2,Single_WithChild,Small Family,65,0,3.71,0.0,3.0,1.1,0.69,1.39,Lower-Middle,Low Spending
